Task,Model,Primary Metric,Value,Secondary Metric,Value,CV Score,N Samples
PEC Recommender,RandomForest(200)+KNN(5),Accuracy,0.9833,F1 Weighted,0.9833,0.9926+/-0.0023,2688
OEC Recommender,RandomForest(200),Accuracy,0.9873,F1 Weighted,0.9873,0.9823+/-0.0083,2750
Perf. Predictor,XGBoost,RMSE,1.3868,R2,0.8415,1.3741+/-0.0326,4800
Perf. Predictor [BEST],RandomForest,RMSE,1.3712,R2,0.8450,1.3323+/-0.0333,4800
Perf. Predictor,GradientBoosting,RMSE,1.4045,R2,0.8374,1.3720+/-0.0375,4800
Perf. Predictor,LightGBM,RMSE,1.3945,R2,0.8397,1.3764+/-0.0361,4800
Weakness Detector [BEST],XGBoost,F1 Weighted,0.8532,Accuracy,0.8523,0.8520+/-0.0046,16867
Weakness Detector,LightGBM,F1 Weighted,0.8479,Accuracy,0.8473,0.8501+/-0.0052,16867
Weakness Detector,RandomForest,F1 Weighted,0.8512,Accuracy,0.8494,0.8487+/-0.0059,16867
Weakness Detector,GradientBoosting,F1 Weighted,0.8504,Accuracy,0.8494,0.8533+/-0.0034,16867
